playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ
braxtka01w,6,0,DET,WNBA,33,2,455,227,42,58,100,14,18,13,52,78,210,97,60,33,1,0,0,2,0,36,15,4,3,7,2,0,0,3,5,18,5,6,5,0,0,0
brownco01w,6,0,IND,WNBA,6,0,23,6,0,2,2,3,1,0,3,1,5,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brownki01w,6,2,HOU,WNBA,4,0,18,0,0,1,1,2,1,0,2,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0
brownki01w,6,1,WAS,WNBA,2,0,14,2,0,0,0,0,2,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brungje01w,6,0,CON,WNBA,12,0,47,2,1,5,6,2,0,0,2,4,9,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brunsre01w,6,0,SAC,WNBA,34,16,722,265,75,112,187,16,28,15,42,61,246,105,92,55,0,0,0,8,8,194,55,13,31,44,10,5,4,9,27,56,25,11,5,0,0,0
burseja01w,6,0,SEA,WNBA,34,34,859,340,81,118,199,23,19,40,78,139,243,127,123,86,0,0,6,3,3,90,28,8,6,14,3,3,1,2,11,18,11,6,6,0,0,0
campbed01w,6,0,SAS,WNBA,28,2,248,48,2,12,14,14,7,0,15,20,67,21,1,1,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cantydo01w,6,0,HOU,WNBA,33,32,997,270,25,83,108,101,29,2,67,75,238,95,110,80,4,0,0,5,5,162,40,11,11,22,17,1,0,14,12,30,12,20,16,0,0,0
careyja01w,6,0,CON,WNBA,15,0,86,18,2,4,6,7,2,0,4,9,19,7,0,0,13,4,0,6,0,71,5,0,2,2,7,1,0,4,5,9,2,0,0,6,1,0
carteam01w,6,0,NYL,WNBA,3,0,13,0,0,2,2,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashsw01w,6,0,DET,WNBA,21,21,458,119,42,46,88,43,12,6,47,44,126,48,32,21,10,2,1,2,2,51,16,5,4,9,7,3,2,4,4,13,4,11,8,1,0,0
castriz01w,6,0,SEA,WNBA,33,32,879,269,23,74,97,49,18,4,59,73,242,93,73,59,72,24,0,3,3,86,17,0,3,3,4,2,0,8,12,18,6,4,4,6,1,0
catchta01w,6,0,IND,WNBA,34,34,1174,501,69,195,264,143,90,16,91,96,410,157,193,152,123,35,1,4,4,146,69,13,24,37,9,8,1,11,13,59,21,28,22,12,5,1
choneka01w,6,0,WAS,WNBA,12,0,61,14,2,4,6,1,1,0,4,9,14,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chriska01w,6,0,PHO,WNBA,11,1,108,18,9,13,22,7,7,5,10,25,15,7,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chrissh01w,6,0,NYL,WNBA,34,9,809,311,25,67,92,41,33,19,50,100,270,111,76,65,89,24,1,2,1,47,11,0,5,5,1,0,1,2,7,12,4,2,1,4,2,0
curryed01w,6,0,LAS,WNBA,13,0,113,23,4,7,11,12,7,1,10,16,23,7,6,3,16,6,0,2,0,16,0,0,1,1,1,1,0,5,3,1,0,0,0,1,0,0
darlihe01w,6,0,CHA,WNBA,31,11,600,107,5,42,47,83,41,0,51,73,88,27,58,43,32,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deforan01w,6,0,PHO,WNBA,33,33,1131,433,31,83,114,80,41,7,81,66,364,142,120,102,144,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derevje01w,6,0,CON,WNBA,34,1,359,24,10,20,30,40,11,2,26,47,22,8,16,7,7,1,0,8,1,82,6,1,3,4,14,5,0,6,4,5,2,4,2,1,0,0
dillata01w,6,0,SAS,WNBA,10,0,51,9,1,5,6,3,2,0,3,5,16,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dixonta01w,6,0,LAS,WNBA,30,23,607,160,24,43,67,77,24,2,40,73,154,63,40,34,5,0,0,2,1,12,2,0,1,1,2,1,0,1,4,2,1,0,0,0,0,0
douglka01w,6,0,CON,WNBA,32,32,998,351,45,85,130,94,48,4,54,57,288,119,106,82,110,31,0,8,8,278,96,12,25,37,18,11,1,8,17,67,31,29,19,38,15,0
dydekma01w,6,0,CON,WNBA,31,30,671,225,27,168,195,38,8,71,47,62,162,87,65,50,2,1,0,8,8,146,36,8,34,42,4,3,13,16,19,38,14,11,7,1,1,0
edwarsi01w,6,0,SEA,WNBA,28,0,201,55,9,22,31,3,4,2,4,13,41,24,12,7,0,0,0,2,0,5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
elysh01w,6,0,SAS,WNBA,31,11,528,139,11,51,62,27,7,4,33,42,132,50,39,30,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farriba01w,6,0,DET,WNBA,34,1,444,83,31,53,84,19,8,1,43,55,73,25,54,33,0,0,0,2,0,12,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
feastal01w,6,0,CHA,WNBA,21,21,666,192,9,28,37,51,14,2,38,52,162,61,39,33,86,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feifesu01w,6,0,SAC,WNBA,5,0,24,7,0,1,1,3,0,0,2,3,6,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ferdima01w,6,0,SAS,WNBA,31,31,999,388,40,76,116,68,46,5,70,74,358,132,134,104,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fordch01w,6,0,DET,WNBA,33,33,932,313,113,209,322,26,33,46,69,143,279,120,150,73,0,0,6,2,2,49,19,7,7,14,2,1,2,3,11,18,8,5,3,0,0,1
frettla01w,6,0,NYL,WNBA,33,1,361,98,15,23,38,18,12,4,18,52,88,42,19,14,0,0,0,2,1,47,15,2,2,4,1,0,0,2,7,12,5,6,5,0,0,0
goodsad01w,6,2,CHA,WNBA,10,0,215,70,17,18,35,6,3,1,18,22,71,30,15,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goodsad01w,6,1,HOU,WNBA,23,0,271,72,16,20,36,15,8,0,16,18,73,29,21,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
griffyo01w,6,0,SAC,WNBA,34,33,962,469,87,136,223,52,42,31,68,98,357,173,174,123,0,0,0,8,8,246,138,27,39,66,11,10,4,10,20,108,53,45,32,0,0,0
grubigo01w,6,0,LAS,WNBA,9,0,41,1,1,5,6,5,1,0,2,4,8,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hammobe01w,6,0,NYL,WNBA,34,34,1180,473,20,94,114,146,60,2,107,77,336,145,131,118,178,65,0,2,2,76,23,0,7,7,4,0,0,10,8,20,9,3,3,7,2,1
harrili01w,6,0,PHO,WNBA,27,2,297,41,13,26,39,10,5,1,12,33,34,15,14,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harrokr01w,6,0,MIN,WNBA,34,34,832,156,11,71,82,96,38,1,54,37,151,53,36,28,68,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haydeva01w,6,0,MIN,WNBA,31,25,595,246,48,115,163,23,15,68,63,110,238,103,72,40,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haynikr01w,6,0,SAC,WNBA,30,0,434,104,19,43,62,43,33,1,35,41,117,40,23,19,32,5,0,8,0,103,18,4,10,14,8,8,0,4,8,19,7,6,4,1,0,0
hodgedo01w,6,0,LAS,WNBA,32,11,669,178,8,39,47,77,18,7,48,35,157,65,25,17,69,31,0,2,0,13,3,0,1,1,2,1,0,2,0,2,1,0,0,2,1,0
hodgero01w,6,0,HOU,WNBA,26,0,188,33,9,8,17,7,3,0,3,8,47,13,2,2,26,5,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
hoffmeb01w,6,0,IND,WNBA,33,0,497,120,34,63,97,16,21,10,23,59,116,47,30,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
